"ITEM","NAME","PRICE","VIP","TYPE","SOURCE","INSTOCK","DETAILS","ADDRESS","TIMESTAMP"
"75280","501st Legion Clone Troopers",29.99,195,"Online","LEGO.com",TRUE,"Available now","https://www.lego.com/en-us/product/501st-legion-clone-troopers-75280",2021-01-30 22:54:41
"75280","501st Legion Clone Troopers",29.99,195,"Retail","LEGO® Store South Coast Plaza",FALSE,"Out of Stock","South Coast Plaza, 3333 Bristol Street #1042, Costa Mesa, CA 92626",NA
"75280","501st Legion Clone Troopers",29.99,195,"Retail","LEGO® Store The Shops At Mission Viejo",TRUE,"In Stock at this time","555 The Shops at Mission Viejo, The Shops at Mission Viejo, Space 428b, Mission Viejo, CA 92691",2021-01-30 22:54:44
"75280","501st Legion Clone Troopers",29.99,195,"Retail","LEGO® Store Downtown Disney® District",TRUE,"In Stock at this time","1585 Disneyland Drive, Anaheim, CA 92802",2021-01-30 22:54:45
"75301","Luke Skywalker’s X-Wing Fighter",49.99,325,"Online","LEGO.com",TRUE,"Backorders accepted, will ship in 60 days","https://www.lego.com/en-us/product/luke-skywalker-s-x-wing-fighter-75301",2021-01-30 22:54:53
"75301","Luke Skywalker’s X-Wing Fighter",49.99,325,"Retail","LEGO® Store South Coast Plaza",FALSE,"Out of Stock","South Coast Plaza, 3333 Bristol Street #1042, Costa Mesa, CA 92626",NA
"75301","Luke Skywalker’s X-Wing Fighter",49.99,325,"Retail","LEGO® Store The Shops At Mission Viejo",FALSE,"Out of Stock","555 The Shops at Mission Viejo, The Shops at Mission Viejo, Space 428b, Mission Viejo, CA 92691",NA
"75301","Luke Skywalker’s X-Wing Fighter",49.99,325,"Retail","LEGO® Store Downtown Disney® District",FALSE,"Out of Stock","1585 Disneyland Drive, Anaheim, CA 92802",NA
"75300","Imperial TIE Fighter",39.99,260,"Online","LEGO.com",TRUE,"Available now","https://www.lego.com/en-us/product/imperial-tie-fighter-75300",2021-01-30 22:55:04
"75300","Imperial TIE Fighter",39.99,260,"Retail","LEGO® Store South Coast Plaza",FALSE,"Out of Stock","South Coast Plaza, 3333 Bristol Street #1042, Costa Mesa, CA 92626",NA
"75300","Imperial TIE Fighter",39.99,260,"Retail","LEGO® Store The Shops At Mission Viejo",FALSE,"Out of Stock","555 The Shops at Mission Viejo, The Shops at Mission Viejo, Space 428b, Mission Viejo, CA 92691",NA
"75300","Imperial TIE Fighter",39.99,260,"Retail","LEGO® Store Downtown Disney® District",FALSE,"Out of Stock","1585 Disneyland Drive, Anaheim, CA 92802",NA
